Index,Name,Qty,Decal,Value,
1,ANT1,1,R1206,RFANT3216120A5T,
2,BAT1,1,PH_CON2-SMT,PH_CON2-SMT 2.0mm,
3,C1,1,C0603,10uF/0603/10V,
4,C2,1,C0402,1uF/0402,
5,"C6,C11,C14,C22,C23,C27,C30,C33,C45,C52,C54",11,C0402,0.1uF,
6,C15,1,C1206 A type 3516 bile capacitor,68uF 6.3V,
,C10,1,C0805,47uF/0805/10V,
7,"C12,C16,C20,C21",4,C0402,0.1uF/0402/10V,
8,"C17,C19,C13,EC1",5,C0805,10uF/0805/10V,
9,C28,1,C0402,4.7uF,
10,"D1,D2",2,SOD-123,IN5819,
11,"D3,D4,D5,D6,D7,D8",6,SOD-523,ESD5B5.0S,
12,DOWN1,1,USB10/SMT,USB AF short body 10.0 full paste thickness 6.3 with straight edges,
13,F1,1,R0805,6V1A,
14,J1,1,Omega2SP,Omega2SP,
15,J2,1,HEADER_2X15,KONSON row female 2.54 * 7.1 2 * 15P SMT,
16,J3,1,MICRO-USB-5PIN_1,Micro 5.9 pitch USB socket,
17,L1,1,IND-2520 current 1.2A or above,2.2uH,
18,L2,1,CD54,3.3uH,
19,LED1,1,LED-0603,LED-0603 Blue,
20,LED2,1,LED-0603,LED-0603 Orange,
21,LED4,1,LED-0603,LED-0603 Green,
22,Q1,1,SOT23,8550,
23,Q2,1,SOT23-2,AO3400 / SI2302,
24,Q3,1,SOT23,AO3401,
25,R26,1,R0402,2K,
26,"R9,R2_R12,R32,R56,R57,R50,R24",8,R0402,4.7K,
27,"R1,R4,R33,R34",5,R0402,0R,
28,"R6,R30,R31",3,R0402,3K,
29,R13,1,R0402,450K1%,
30,R14,1,R0402,100K1%,
31,R15,1,R0402,110K,
32,R17,1,R0402,15K,
33,R18,1,R0805,0R,
34,R19,1,R0402,18K,
35,R28,2,R0402,1K,
36,R25,1,R0402,1K2,
37,"R44,R45,R46,R47,R48,R49,R5,R8",8,R0402,10K,
38,R54,1,R0402,2M,
39,R55,1,R0402,8.2M,
41,SW1,1,TACTILE_SWITCH_4,SW-TACT-1X1 button,
42,SW3,1,SLIDE_SWITCH_5,POWER switch,
43,U2,1,LED-PAD-4PIN,WS2812B,
44,U3,1,SOT23-5,AP3417C_SOT23-5,
45,U4,1,SOT23-6,FP6291,
46,U5,1,SOP8-1_27,TP4056 1A ,
47,U6,1,QFN28_6X6,CP2102-GMR,
48,U7,1,BGA153/SMD/P0.5/11.5*13mm 8G,eMMC5.1 8GB,"Kinston EMMC08G-T227-A01, Sandisk SDINBDG4-8G, FORESEE NCEMAM59-08G"
49,U10,1,SOT23-5,MCP3021A5T,
,,,,,
NC,,,,,
1,R7,1,R0402,3K/NC,
2,"C24,C25,C26,C31,C32,C29,",6,C0402,0.1uF,
3,R3,1,R0402,0R,
4,"C8,C18",2,C0805,10uf,
5,R58,1,R0402,100K,
